iter	Passed	Remaining
0	140	140322
1	145	72445
2	147	49123
3	152	37876
4	154	30688
5	156	26006
6	159	22619
7	163	20324
8	166	18333
9	168	16711
10	171	15401
11	175	14408
12	178	13527
13	180	12677
14	181	11915
15	182	11250
16	184	10675
17	186	10154
18	189	9801
19	191	9395
20	193	9013
21	194	8652
22	195	8321
23	196	8009
24	198	7729
25	199	7460
26	201	7271
27	202	7043
28	203	6827
29	204	6627
30	205	6430
31	206	6244
32	207	6067
33	207	5908
34	208	5749
35	209	5598
36	209	5456
37	210	5323
38	210	5194
39	211	5073
40	211	4957
41	212	4849
42	213	4747
43	214	4655
44	215	4574
45	216	4485
46	217	4401
47	217	4320
48	218	4241
49	219	4166
50	219	4091
51	220	4019
52	221	3951
53	221	3885
54	222	3820
55	223	3760
56	223	3703
57	224	3647
58	225	3594
59	225	3540
60	226	3488
61	227	3446
62	229	3416
63	230	3375
64	232	3339
65	232	3296
66	233	3255
67	234	3214
68	235	3174
69	236	3137
70	236	3100
71	237	3064
72	238	3028
73	239	2994
74	240	2960
75	240	2926
76	241	2897
77	243	2872
78	244	2846
79	244	2816
80	245	2786
81	246	2756
82	246	2724
83	247	2697
84	248	2670
85	248	2643
86	249	2616
87	249	2589
88	250	2564
89	251	2540
90	251	2514
91	252	2491
92	253	2468
93	253	2445
94	254	2424
95	255	2402
96	256	2383
97	257	2367
98	258	2350
99	258	2330
100	259	2311
101	260	2292
102	261	2274
103	262	2258
104	262	2240
105	263	2224
106	264	2208
107	265	2191
108	266	2174
109	266	2159
110	267	2144
111	268	2128
112	269	2113
113	270	2100
114	271	2087
115	272	2075
116	272	2059
117	273	2046
118	274	2032
119	275	2018
120	276	2005
121	276	1990
122	277	1977
123	278	1964
124	278	1950
125	279	1938
126	280	1927
127	281	1914
128	281	1902
129	282	1890
130	283	1878
131	285	1877
132	286	1869
133	287	1860
134	288	1850
135	289	1841
136	290	1831
137	291	1821
138	292	1813
139	293	1803
140	294	1793
141	294	1781
142	295	1771
143	296	1761
144	296	1751
145	297	1741
146	299	1738
147	300	1732
148	302	1727
149	303	1719
150	304	1714
151	306	1707
152	306	1699
153	307	1690
154	308	1682
155	309	1674
156	310	1667
157	311	1659
158	313	1659
159	315	1654
160	316	1647
161	317	1641
162	318	1634
163	319	1626
164	320	1620
165	321	1615
166	322	1608
167	323	1602
168	324	1594
169	325	1588
170	326	1583
171	327	1578
172	328	1571
173	329	1564
174	330	1558
175	331	1551
176	332	1545
177	333	1538
178	333	1531
179	334	1525
180	335	1518
181	336	1511
182	337	1505
183	338	1499
184	338	1492
185	339	1486
186	341	1483
187	342	1480
188	344	1477
189	345	1472
190	346	1467
191	347	1462
192	348	1456
193	349	1450
194	349	1444
195	350	1439
196	352	1436
197	353	1433
198	355	1432
199	357	1428
200	358	1424
201	359	1419
202	360	1415
203	361	1410
204	362	1405
205	363	1400
206	364	1395
207	365	1390
208	366	1385
209	366	1380
210	367	1375
211	368	1370
212	370	1368
213	371	1365
214	372	1361
215	373	1356
216	374	1351
217	375	1347
218	376	1342
219	377	1337
220	378	1333
221	379	1328
222	380	1324
223	380	1319
224	381	1314
225	382	1310
226	383	1306
227	384	1301
228	385	1299
229	386	1295
230	387	1290
231	388	1286
232	389	1282
233	390	1277
234	391	1273
235	391	1268
236	392	1264
237	393	1260
238	394	1255
239	395	1251
240	396	1247
241	397	1243
242	397	1239
243	399	1238
244	400	1234
245	401	1230
246	402	1225
247	403	1223
248	404	1219
249	405	1215
250	405	1211
251	406	1207
252	407	1204
253	408	1200
254	409	1196
255	410	1192
256	411	1189
257	412	1185
258	413	1182
259	414	1178
260	415	1176
261	416	1172
262	417	1168
263	418	1165
264	418	1161
265	419	1158
266	420	1154
267	421	1151
268	422	1147
269	423	1143
270	423	1140
271	424	1136
272	425	1132
273	426	1129
274	427	1127
275	428	1124
276	429	1120
277	430	1117
278	430	1113
279	431	1110
280	432	1107
281	433	1104
282	434	1101
283	435	1098
284	436	1094
285	437	1091
286	438	1088
287	438	1085
288	440	1082
289	440	1079
290	442	1077
291	443	1074
292	444	1071
293	445	1069
294	446	1066
295	447	1063
296	448	1060
297	449	1057
298	449	1054
299	450	1052
300	452	1049
301	453	1047
302	453	1044
303	454	1041
304	456	1039
305	457	1037
306	458	1035
307	459	1032
308	460	1030
309	461	1027
310	462	1024
311	463	1022
312	464	1019
313	465	1016
314	466	1013
315	466	1010
316	467	1007
317	468	1004
318	469	1002
319	470	999
320	471	997
321	472	995
322	473	992
323	474	990
324	475	988
325	476	985
326	477	982
327	478	980
328	479	977
329	480	975
330	481	972
331	482	969
332	482	967
333	483	964
334	485	963
335	486	961
336	487	959
337	488	957
338	489	955
339	490	952
340	491	950
341	492	947
342	493	945
343	494	942
344	495	940
345	496	937
346	496	935
347	498	933
348	499	932
349	501	931
350	502	929
351	504	928
352	505	926
353	507	925
354	508	923
355	509	921
356	510	919
357	511	916
358	511	913
359	512	911
360	514	910
361	515	908
362	516	906
363	517	904
364	518	901
365	519	899
366	520	897
367	521	894
368	521	892
369	522	890
370	523	888
371	524	885
372	525	883
373	526	881
374	527	879
375	528	877
376	529	875
377	530	873
378	531	871
379	532	869
380	533	866
381	534	864
382	535	862
383	536	861
384	537	859
385	539	857
386	539	855
387	540	853
388	542	852
389	544	851
390	545	849
391	545	846
392	547	844
393	548	843
394	550	842
395	551	841
396	552	838
397	553	836
398	553	834
399	554	832
400	556	830
401	557	829
402	558	827
403	559	825
404	560	824
405	562	822
406	563	821
407	564	818
408	565	816
409	565	814
410	566	812
411	567	810
412	568	808
413	569	806
414	570	804
415	571	802
416	572	800
417	573	798
418	574	796
419	575	794
420	575	792
421	576	790
422	577	787
423	578	785
424	579	783
425	580	781
426	580	779
427	581	777
428	582	775
429	583	773
430	584	771
431	585	770
432	587	768
433	588	766
434	589	765
